,r,s,p,elevation
112,121.10086720507526,23.80354444839889,112.0,1635.9106212133368
113,121.11069654599939,23.803540914628794,113.0,2005.9318694782587
114,121.12052588634153,23.803536758172285,114.0,2018.8359536434214
115,121.13035522600744,23.803531979029525,115.00000000000001,1601.7951137889872
116,121.14018456490288,23.80352657720071,116.00000000000001,1766.632715386625
117,121.15001390293362,23.803520552686035,116.99999999999999,1761.101425648839
118,121.1598432400054,23.803513905485744,118.0,2060.619898460739
119,121.169672576024,23.803506635600094,119.0,2002.8493367382318
120,121.17950191089511,23.803498743029373,120.0,2161.0360975423396
121,121.18933124452455,23.803490227773885,121.0,2116.8910864612567
122,121.19916057681804,23.80348108983395,122.0,2207.0872083212607
123,121.20898990768137,23.80347132920996,123.00000000000001,2500.4932114827734
124,121.21881923702026,23.80346094590226,123.99999999999999,2622.2812437945163
125,121.22864856474047,23.803449939911268,124.99999999999999,2585.609385192815
126,121.23847789074775,23.803438311237414,126.0,2365.3624112573684
127,121.24830721494787,23.803426059881154,127.0,1921.7891209107036
128,121.25813653724663,23.803413185842956,128.0,1713.5632437799172
129,121.26796585754968,23.803399689123342,129.0,1294.9737624136505
130,121.27779517576289,23.80338556972282,130.0,1600.7876130381408
131,121.28762449179193,23.80337082764195,131.0,1767.9706489268915
132,121.29745380554262,23.803355462881296,132.0,1619.8656940482672
133,121.30728311692069,23.803339475441472,133.0,1789.3617787011767
134,121.3171124258319,23.803322865323096,134.0,1897.9665373530363
135,121.32694173218198,23.80330563252682,135.0,1449.16989424754
136,121.33677103587675,23.803287777053306,136.0,1672.2551150050595
137,121.34660033682191,23.803269298903256,137.0,2024.0306487338794
138,121.35642963492327,23.8032501980774,138.0,1493.1987929846616
139,121.36625893008657,23.803230474576466,139.0,1167.3816243982978
140,121.37608822221758,23.803210128401243,140.0,1318.9094489672846
141,121.38591751122205,23.803189159552502,141.0,1443.5613595066218
142,121.39574679700571,23.803167568031085,142.0,1682.8461418004258
143,121.40557607947437,23.803145353837824,143.0,1276.452165074993
144,121.4154053585338,23.803122516973577,144.0,735.1306009625819
145,121.42523463408972,23.80309905743925,145.0,474.0061610585868
146,121.43506390604794,23.80307497523575,146.0,280.2988456082966
147,121.44489317431417,23.803050270364015,147.0,160.7177042427725
148,121.45472243879424,23.803024942825015,148.0,152.38671017142624
149,121.46455169939385,23.802998992619735,149.0,136.50826752316294
150,121.47438095601883,23.802972419749185,150.0,121.55319382377427
151,121.48421020857488,23.80294522421441,151.0,105.96296635067809
152,121.49403945696781,23.802917406016462,152.0,92.62614763852704
153,121.50386870110341,23.802888965156434,153.0,77.6189168995443
154,121.5136979408874,23.80285990163543,154.0,65.3527168357098
155,121.52352717622558,23.802830215454584,155.0,63.88323433798866
156,121.53335640702369,23.802799906615057,156.0,326.0562526466787
157,121.54318563318755,23.802768975118035,157.0,365.66835719577233
158,121.55301485462286,23.80273742096472,158.0,141.7127069298708
159,121.56284407123546,23.80270524415634,159.0,235.86721829470883
160,121.5726732829311,23.802672444694156,160.0,-3.956175272769511
161,121.58250248961556,23.802639022579445,161.0,-11.731862204768772
162,121.5923316911946,23.80260497781352,162.0,-30.26723154232322
163,121.602160887574,23.802570310397694,163.0,-105.59597287920579
164,121.61199007865955,23.802535020333323,164.0,-233.23129081085176
165,121.621819264357,23.8024991076218,165.0,-459.26293028067073
