,r,s,p,elevation
81,120.78790225718336,22.403178847697554,81.0,1007.6350023028999
82,120.79762962456444,22.40319423584874,82.0,885.5304248389326
83,120.80735699405875,22.403209042096957,83.0,802.138418867609
84,120.81708436558482,22.403223266441632,84.0,695.0756022042258
85,120.82681173906121,22.403236908882242,85.0,509.58485569923715
86,120.83653911440648,22.403249969418283,86.0,634.1243024501338
87,120.84626649153917,22.40326244804926,87.0,639.3809437396571
88,120.85599387037782,22.40327434477472,88.0,698.7431281010507
89,120.86572125084098,22.403285659594214,89.0,681.3303110036939
90,120.87544863284721,22.403296392507325,90.0,673.543165229654
91,120.88517601631504,22.40330654351364,91.0,576.4631288591665
92,120.89490340116306,22.403316112612796,92.0,493.0548926735626
93,120.9046307873098,22.40332509980444,93.0,490.6162754229536
94,120.91435817467377,22.403333505088227,94.0,317.52346498787347
95,120.92408556317355,22.403341328463853,95.0,-48.48015323900321
96,120.93381295272769,22.40334856993102,96.0,-84.01941205195575
97,120.94354034325474,22.40335522948946,97.0,-158.73889276420184
98,120.95326773467325,22.403361307138923,98.0,-268.2890350438677
99,120.96299512690173,22.403366802879194,99.0,-467.29982820975005
100,120.97272251985876,22.40337171671005,100.0,-710.4743227547341
101,120.98244991346289,22.403376048631326,101.0,-816.9295864552431
102,120.99217730763264,22.40337979864286,102.0,-914.2645229687612
103,121.00190470228661,22.4033829667445,103.0,-1007.0738946028866
104,121.0116320973433,22.40338555293613,104.0,-1047.6949016056758
105,121.02135949272126,22.403387557217663,105.0,-1055.073060728988
106,121.03108688833902,22.40338897958902,106.0,-1037.079108459806
107,121.0408142841152,22.40338982005015,107.0,-1003.0832204190729
108,121.05054167996828,22.40339007860102,108.0,-1041.9759287008135
109,121.06026907581679,22.403389755241616,109.0,-1092.5316272315138
110,121.06999647157936,22.40338884997195,110.0,-1093.0738601167795
111,121.07972386717444,22.40338736279207,111.0,-1088.0695221144015
112,121.08945126252065,22.403385293702016,112.0,-1085.0212184257466
113,121.09917865753651,22.403382642701875,113.0,-1085.0916272538987
114,121.10890605214055,22.403379409791736,114.0,-1080.1735474248214
115,121.11863344625138,22.403375594971724,115.00000000000001,-1058.544256179994
116,121.12836083978745,22.403371198241977,116.00000000000001,-1032.5265569667342
117,121.13808823266739,22.40336621960267,116.99999999999999,-1020.1624031365245
118,121.1478156248097,22.403360659053977,118.0,-1037.0564898653968
119,121.15754301613295,22.40335451659611,119.0,-1034.6001312491142
120,121.16727040655566,22.40334779222929,120.0,-805.0418406519957
121,121.1769977959964,22.403340485953784,121.0,-557.0921743996356
122,121.18672518437373,22.40333259776984,122.0,-485.0123566937077
123,121.19645257160617,22.403324127677774,123.00000000000001,-510.7670209030014
124,121.20617995761229,22.403315075677888,123.99999999999999,-555.0481358596517
125,121.21590734231063,22.40330544177052,124.99999999999999,-627.3154280829503
126,121.22563472561971,22.403295225956033,126.0,-697.4720368577313
127,121.23536210745812,22.403284428234805,127.0,-711.427183097756
128,121.24508948774438,22.40327304860723,128.0,-791.1311963963103
129,121.25481686639706,22.403261087073748,129.0,-1178.9760539031004
130,121.26454424333471,22.403248543634792,130.0,-1385.8761116954927
131,121.27427161847586,22.403235418290826,131.0,-1581.49908312986
132,121.28399899173908,22.403221711042345,132.0,-1857.333551960383
133,121.29372636304291,22.40320742188986,133.0,-2145.5414943517076
134,121.3034537323059,22.4031925508339,134.0,-2232.279641151044
135,121.31318109944658,22.40317709787501,135.0,-2176.5809465337225
136,121.32290846438353,22.403161063013776,136.0,-2051.783147159603
137,121.33263582703528,22.403144446250792,137.0,-2157.6910456737482
138,121.34236318732042,22.403127247586678,138.0,-2337.0307147599447
139,121.35209054515745,22.403109467022066,139.0,-2467.707436851535
140,121.36181790046497,22.403091104557625,140.0,-2584.085758857216
141,121.3715452531615,22.403072160194032,141.0,-2692.0704569531877
142,121.38127260316558,22.403052633931996,142.0,-2695.944575894191
143,121.39099995039584,22.40303252577224,143.0,-2707.2754844172755
144,121.40072729477073,22.403011835715517,144.0,-2713.316167971507
145,121.41045463620887,22.402990563762597,145.0,-2918.5911779817006
146,121.4201819746288,22.40296870991426,146.0,-3073.2060061210386
147,121.42990930994907,22.402946274171327,147.0,-3144.7799455648505
148,121.43963664208826,22.40292325653464,148.0,-3066.5675803334348
149,121.44936397096488,22.40289965700504,149.0,-2783.7720471426087
150,121.4590912964975,22.40287547558341,150.0,-2781.931672679332
151,121.46881861860474,22.40285071227066,151.0,-2847.3896284581065
152,121.47854593720507,22.4028253670677,152.0,-3048.058619025643
153,121.48827325221708,22.402799439975475,153.0,-3244.5009604318584
154,121.49800056355936,22.40277293099495,154.0,-3304.9223272084546
155,121.50772787115041,22.402745840127107,155.0,-3516.3114241951484
156,121.51745517490885,22.40271816737296,156.0,-3579.217109862331
157,121.5271824747532,22.40268991273354,157.0,-3705.3142361565515
158,121.53690977060202,22.402661076209892,158.0,-3798.1145801596394
159,121.54663706237392,22.402631657803088,159.0,-3817.468206144879
160,121.55636434998739,22.402601657514225,160.0,-3822.3678871421835
161,121.56609163336104,22.40257107534442,161.0,-3843.7508052280414
162,121.57581891241342,22.402539911294806,162.0,-3832.7178636298227
163,121.58554618706312,22.402508165366545,163.0,-3859.652699905329
164,121.59527345722866,22.40247583756082,164.0,-3848.0031200885473
165,121.60500072282862,22.402442927878834,165.0,-3798.062771295386
166,121.61472798378158,22.402409436321808,166.0,-4039.1242162246417
167,121.6244552400061,22.40237536289099,167.0,-4101.805908465366
168,121.63418249142075,22.402340707587644,168.0,-4164.066459081024
169,121.64390973794409,22.402305470413058,169.0,-4208.152352576183
170,121.6536369794947,22.402269651368545,170.0,-4216.35894237135
171,121.66336421599112,22.402233250455442,171.0,-4253.87575519587
172,121.67309144735196,22.402196267675095,172.0,-4260.107489091024
173,121.68281867349577,22.40215870302889,173.0,-4265.186738953901
174,121.69254589434114,22.402120556518206,174.0,-4338.222359367129
175,121.70227310980661,22.402081828144485,175.0,-4377.7483283316715
176,121.71200031981076,22.402042517909152,176.0,-4400.998308841115
177,121.7217275242722,22.40200262581367,177.0,-4433.519786174977
178,121.73145472310947,22.401962151859525,178.0,-4460.252713685559
179,121.74118191624116,22.401921096048223,179.0,-4484.555411976266
180,121.75090910358583,22.40187945838129,180.0,-4494.189979121698
181,121.76063628506208,22.401837238860285,181.0,-4519.537775984536
182,121.77036346058848,22.401794437486767,182.0,-4530.296513827543
183,121.78009063008359,22.401751054262327,183.0,-4530.80145281315
184,121.78981779346603,22.40170708918858,184.0,-4560.5279165168895
185,121.79954495065437,22.401662542267164,185.0,-4565.26818459671
186,121.80927210156715,22.40161741349974,186.0,-4578.006715381348
187,121.81899924612301,22.401571702887974,187.0,-4598.953554020255
188,121.8287263842405,22.401525410433578,188.0,-4574.658703927426
189,121.83845351583821,22.401478536138264,189.0,-4622.227495146004
