date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2018-02-06 18:07:39.00 24.0402 121.7092 4.17 5.39 99 11.50 95 0.34 0.20 0.10 F 291 C
2018-02-06 18:00:41.11 23.9775 121.6085 6.43 4.08 5 11.50 218 0.04 0.70 1.10 F 8 D
2018-02-06 18:00:13.37 24.1157 121.7290 6.69 5.38 99 11.80 103 0.34 0.10 0.20 F 290 C
2018-02-06 17:50:51.52 23.9777 121.5923 6.59 4.32 99 10.20 77 0.34 0.10 0.10 F 249 C
2018-02-06 17:23:57.04 24.1122 121.7137 8.14 4.23 99 10.50 103 0.31 0.20 0.20 F 221 C
2018-02-06 17:19:25.44 24.0832 121.7458 10.23 4.15 99 14.30 114 0.33 0.20 0.30 F 160 C
2018-02-06 16:26:45.56 23.9948 121.6090 6.85 4.37 99 9.60 77 0.33 0.10 0.20 F 275 C
2018-02-06 16:17:57.82 23.9882 121.6123 5.91 4.90 99 10.30 75 0.34 0.20 0.30 F 257 C
2018-02-06 15:59:19.81 24.0992 121.6873 7.96 4.11 87 8.60 175 0.27 0.20 0.10 F 123 C
2018-02-06 15:54:52.88 24.0005 121.6230 6.70 4.54 44 9.10 157 0.30 0.30 0.40 F 60 C
2018-02-06 15:54:45.23 24.0223 121.6040 8.41 4.09 30 6.50 167 0.30 0.70 0.50 F 39 C
2018-02-06 15:53:54.03 24.1287 121.6468 12.48 4.50 8 4.10 191 0.30 1.90 0.80 F 14 D
2018-02-06 15:53:47.97 23.9618 121.5985 5.48 4.95 99 10.80 108 0.31 0.20 0.30 F 127 C
2018-02-06 15:52:32.76 24.0332 121.5902 7.61 4.35 19 5.50 161 0.28 0.60 0.50 F 33 C
2018-02-06 15:51:22.64 23.9915 121.6163 6.49 4.87 12 10.00 172 0.34 1.50 1.70 F 16 C
2018-02-06 15:51:20.93 23.9470 121.5445 6.72 4.74 14 5.70 149 0.34 2.10 2.10 F 16 C
2018-02-06 15:50:41.62 24.1007 121.7297 6.31 6.26 99 12.60 106 0.28 0.20 0.20 F 191 B
2018-02-06 13:36:45.99 24.1433 121.6875 9.96 4.15 99 6.80 92 0.32 0.20 0.20 F 215 C
2018-02-06 08:36:48.56 24.0780 121.7740 6.69 4.58 99 17.20 86 0.50 0.20 0.20 F 226 C
2018-02-06 08:26:38.87 24.0827 121.7612 6.23 4.27 99 15.90 114 0.48 0.10 0.20 F 188 C
2018-02-06 06:27:10.01 24.1122 121.7273 8.33 4.13 99 11.80 98 0.30 0.20 0.20 F 196 B
2018-02-06 05:09:14.89 24.1860 121.7195 10.73 5.09 99 10.30 86 0.32 0.20 0.10 F 262 B
2018-02-06 00:35:10.03 24.1270 121.7068 8.41 4.16 99 9.20 103 0.31 0.20 0.10 F 234 C
2018-02-07 18:02:22.49 23.9680 121.7525 6.53 4.25 99 14.20 95 0.40 0.20 0.20 F 193 C
2018-02-07 15:56:04.08 24.1003 121.8155 6.00 4.43 99 20.60 103 0.32 0.20 0.10 F 232 C
2018-02-07 15:24:04.24 24.1328 121.7110 7.91 4.39 99 9.40 134 0.33 0.20 0.20 F 155 C
2018-02-07 15:23:43.56 24.1268 121.7170 10.64 4.15 65 10.20 182 0.28 0.30 0.20 F 97 C
2018-02-07 15:23:06.69 24.1057 121.7052 10.61 4.39 72 10.20 182 0.30 0.30 0.30 F 101 D
2018-02-07 15:22:19.93 24.1303 121.6665 11.31 4.05 6 5.40 200 0.21 2.40 1.60 F 11 D
2018-02-07 15:21:56.67 24.1420 121.7063 10.53 4.77 9 8.70 219 0.21 0.90 0.60 F 17 C
2018-02-07 15:21:30.44 24.0818 121.7770 7.75 5.85 99 17.50 85 0.30 0.10 0.10 F 319 C
2018-02-07 14:19:19.72 23.9640 121.7675 5.14 4.62 99 15.70 96 0.33 0.20 0.20 F 237 C
2018-02-07 13:08:00.71 24.0895 121.7417 7.33 4.55 99 14.00 106 0.35 0.10 0.20 F 228 C
2018-02-07 13:06:40.52 24.0790 121.7710 7.18 5.14 99 16.90 83 0.31 0.10 0.10 F 296 C
2018-02-07 12:51:58.21 24.2485 121.6428 15.14 4.01 99 9.60 79 0.36 0.30 0.30 F 243 A
2018-02-07 11:58:27.10 23.9732 121.7785 6.44 4.04 99 16.80 101 0.40 0.20 0.30 F 238 C
2018-02-07 11:33:08.90 23.8987 121.5670 10.18 4.03 99 9.70 82 0.36 0.20 0.20 F 233 B
2018-02-07 11:13:05.89 24.0000 121.7295 8.24 5.03 99 12.10 86 0.28 0.10 0.20 F 256 B
2018-02-07 10:19:47.60 24.2138 121.6745 12.66 4.53 99 8.00 79 0.28 0.10 0.10 F 268 B
2018-02-07 08:23:29.68 24.0877 121.6840 8.30 4.19 99 8.10 101 0.26 0.20 0.10 F 214 B
2018-02-07 05:07:38.95 23.9863 121.7217 7.43 4.37 99 11.10 88 0.29 0.20 0.20 F 245 B
2018-02-07 04:50:42.61 24.0543 121.6405 7.96 4.39 99 4.70 91 0.34 0.20 0.10 F 250 C
2018-02-07 04:39:18.39 24.0002 121.6095 6.75 4.05 99 2.80 87 0.30 0.20 0.20 F 226 B
2018-02-07 03:57:58.51 24.0448 121.6628 7.42 4.01 99 7.10 103 0.34 0.20 0.20 F 205 C
2018-02-07 03:40:27.67 24.2063 121.7167 8.31 4.02 99 10.90 99 0.33 0.20 0.20 F 238 C
2018-02-07 03:37:36.64 24.0680 121.7287 8.75 4.47 99 12.70 119 0.36 0.10 0.20 F 177 C
2018-02-07 03:36:18.46 24.0810 121.7382 7.42 5.17 99 13.60 93 0.35 0.10 0.20 F 283 C
2018-02-07 02:29:12.59 23.9578 121.5983 6.16 4.04 99 10.80 78 0.29 0.20 0.30 F 201 B
2018-02-07 02:18:02.91 24.0735 121.7182 7.68 4.99 99 11.60 98 0.32 0.10 0.20 F 248 C
2018-02-07 01:21:45.36 23.9952 121.7205 5.94 4.40 99 15.20 131 0.39 0.50 0.30 F 203 C
2018-02-08 20:14:13.93 24.0215 121.8235 5.90 4.07 99 22.00 100 0.35 0.20 0.10 F 209 C
2018-02-08 19:11:05.55 24.0913 121.8158 11.16 4.37 99 21.00 86 0.32 0.30 0.40 F 200 C
2018-02-08 08:40:54.22 24.0965 121.7398 6.55 4.01 99 13.70 89 0.37 0.10 0.10 F 291 C
2018-02-08 03:15:25.06 23.9668 121.5993 7.28 4.18 99 1.70 76 0.33 0.20 0.20 F 266 B
2018-02-08 03:06:04.08 23.9598 121.6000 8.77 4.82 99 2.20 71 0.32 0.10 0.10 F 339 B
2018-02-08 02:41:20.54 24.1745 121.7497 13.31 4.16 99 13.00 84 0.29 0.20 0.10 F 257 B
2018-02-08 00:59:27.89 23.9822 121.5668 8.98 4.31 99 4.80 84 0.32 0.10 0.10 F 222 B
2018-02-08 00:54:38.68 23.9858 121.5625 8.38 4.45 14 5.30 83 0.19 0.20 0.20 F 27 B
2018-02-08 00:54:17.06 23.9680 121.5807 11.54 5.07 99 3.40 69 0.32 0.10 0.10 F 335 B
2018-02-09 18:43:09.04 24.0290 121.8133 5.82 4.71 99 21.20 90 0.32 0.10 0.10 F 255 C
2018-02-09 14:45:45.90 24.0168 121.8043 6.83 4.25 99 20.00 95 0.37 0.20 0.30 F 217 C
2018-02-09 03:56:01.15 23.9150 121.5972 22.65 4.10 99 6.90 93 0.28 0.20 0.20 F 241 B
2018-02-09 02:14:03.23 23.9270 121.5995 21.64 4.73 99 5.50 80 0.30 0.20 0.10 F 271 B
2018-02-10 07:48:49.62 24.2263 121.8388 10.91 4.73 99 12.80 93 0.26 0.20 0.20 F 249 B
2018-02-11 07:39:06.97 23.9065 121.5670 8.50 4.27 99 9.00 89 0.34 0.10 0.20 F 217 C
2018-02-14 18:27:32.47 24.1793 121.8117 7.73 4.37 99 15.60 94 0.31 0.10 0.20 F 252 C
